,date,open,close
0,2015-12-01,10447.05957,10519.58984
0,2015-12-02,10501.09961,10389.2002
0,2015-12-03,10415.55957,10257.37988
0,2015-12-04,10266.5,10408.86035
0,2015-12-07,10408.86035,10304.53027
0,2015-12-08,10214.29004,10198.37012
0,2015-12-09,10191.34961,10162.37012
0,2015-12-10,10165.45996,10172.04004
0,2015-12-11,10074.08008,9976.650391
0,2015-12-14,9977.820313,9986.759766
0,2015-12-15,10057.33008,10110.94043
0,2015-12-16,10164.83984,10267.83008
0,2015-12-17,10267.83008,10112.62988
0,2015-12-18,10072.98047,9967.639648
0,2015-12-21,10017.12988,10023.03027
0,2015-12-22,10052.33984,10112.40039
0,2015-12-23,10180.62012,10276.28027
0,2015-12-24,10266.05957,10258.54981
0,2015-12-28,10225.99023,10217.40039
0,2015-12-29,10270.37988,10306.59961
0,2015-12-30,10277.53027,10225.83008
0,2015-12-31,10186.44043,10143.41992
0,2016-01-04,10020.04981,10001.55957
0,2016-01-05,10007.00977,10028.05957
0,2016-01-06,9907.370117,9868.259766
0,2016-01-07,9751.349609,9650.419922
0,2016-01-08,9692.799805,9528.769531
0,2016-01-11,9575.179688,9527.660156
0,2016-01-12,9591.30957,9576.519531
0,2016-01-13,9619.009766,9374.230469
0,2016-01-14,9405.429688,9516.549805
0,2016-01-15,9387.540039,9299.629883
0,2016-01-19,9378.860352,9301.740234
0,2016-01-20,9214.94043,9156.839844
0,2016-01-21,9164.169922,9226.570313
0,2016-01-22,9343.129883,9426.910156
0,2016-01-25,9393.540039,9262.990234
0,2016-01-26,9295.339844,9429.110352
0,2016-01-27,9403.870117,9373.780273
0,2016-01-28,9374.839844,9397.790039
0,2016-01-29,9439.339844,9632.700195
0,2016-02-01,9578.919922,9616.69043
0,2016-02-02,9532.990234,9413.780273
0,2016-02-03,9471.790039,9495.209961
0,2016-02-04,9484.129883,9534.299805
0,2016-02-05,9499.530273,9390.330078
0,2016-02-08,9294.879883,9231.330078
0,2016-02-09,9131.980469,9187.790039
0,2016-02-10,9221.839844,9176.719727
0,2016-02-11,9092.910156,9029.879883
0,2016-02-12,9092.870117,9229.679688
0,2016-02-16,9317.94043,9375.389648
0,2016-02-17,9426.759766,9532.280273
0,2016-02-18,9532.860352,9504.980469
0,2016-02-19,9465.179688,9485.959961
0,2016-02-22,9485.769531,9616.320313
0,2016-02-23,9582.759766,9494.320313
0,2016-02-24,9411.269531,9506.070313
0,2016-02-25,9534.740234,9625.269531
0,2016-02-26,9668.259766,9619.790039
0,2016-02-29,9615.169922,9559.530273
0,2016-03-01,9626.879883,9771.0
0,2016-03-02,9746.419922,9837.589844
0,2016-03-03,9828.30957,9907.969727
0,2016-03-04,9929.330078,9968.410156
0,2016-03-07,9922.379883,10006.19043
0,2016-03-08,9952.230469,9868.519531
0,2016-03-09,9906.839844,9924.80957
0,2016-03-10,9954.160156,9918.070313
0,2016-03-11,9988.290039,10104.19043
0,2016-03-14,10073.33008,10074.26953
0,2016-03-15,10005.58984,10013.59961
0,2016-03-16,9986.480469,10084.16992
0,2016-03-17,10101.65039,10190.40039
0,2016-03-18,10216.59961,10223.42969
0,2016-03-21,10204.7002,10219.69043
0,2016-03-22,10169.90039,10194.2002
0,2016-03-23,10171.37988,10099.67969
0,2016-03-24,10032.88965,10086.59961
0,2016-03-28,10105.12012,10106.44043
0,2016-03-29,10071.41992,10190.41016
0,2016-03-30,10245.92969,10236.9502
0,2016-03-31,10236.79981,10207.37012
0,2016-04-01,10132.58008,10219.95996
0,2016-04-04,10227.12012,10183.0
0,2016-04-05,10104.76953,10061.08008
0,2016-04-06,10062.83984,10159.84961
0,2016-04-07,10112.98047,10045.15039
0,2016-04-08,10108.70996,10119.69043
0,2016-04-11,10154.08008,10114.58008
0,2016-04-12,10114.58008,10238.69043
0,2016-04-13,10271.66016,10359.50977
0,2016-04-14,10359.19043,10360.24023
0,2016-04-15,10359.58008,10355.57031
